day,hour,value
5,1,13
5,2,11
5,3,7
5,4,15
5,5,11
5,6,15
5,7,13
5,8,46
5,9,43
5,10,34
5,11,22
5,12,17
5,13,15
5,14,16
5,15,13
5,16,21
5,17,22
5,18,24
5,19,24
5,20,41
5,21,35
5,22,27
5,23,29
5,24,33
1,1,32
1,2,18
1,3,10
1,4,11
1,5,12
1,6,13
1,7,21
1,8,39
1,9,44
1,10,38
1,11,11
1,12,14
1,13,14
1,14,10
1,15,9
1,16,16
1,17,14
1,18,15
1,19,19
1,20,24
1,21,20
1,22,27
1,23,22
1,24,14
6,1,25
6,2,19
6,3,26
6,4,18
6,5,16
6,6,18
6,7,8
6,8,18
6,9,31
6,10,26
6,11,20
6,12,26
6,13,36
6,14,24
6,15,29
6,16,41
6,17,27
6,18,20
6,19,36
6,20,40
6,21,40
6,22,49
6,23,59
6,24,59
7,1,48
7,2,46
7,3,30
7,4,23
7,5,21
7,6,14
7,7,9
7,8,3
7,9,23
7,10,21
7,11,19
7,12,22
7,13,19
7,14,29
7,15,27
7,16,34
7,17,33
7,18,26
7,19,22
7,20,32
7,21,22
7,22,30
7,23,30
7,24,36
4,1,17
4,2,13
4,3,5
4,4,13
4,5,12
4,6,9
4,7,15
4,8,41
4,9,49
4,10,33
4,11,15
4,12,13
4,13,13
4,14,15
4,15,15
4,16,15
4,17,14
4,18,21
4,19,32
4,20,31
4,21,30
4,22,24
4,23,21
4,24,18
2,1,10
2,2,5
2,3,5
2,4,9
2,5,9
2,6,7
2,7,16
2,8,35
2,9,43
2,10,28
2,11,14
2,12,14
2,13,16
2,14,7
2,15,30
2,16,12
2,17,12
2,18,11
2,19,19
2,20,23
2,21,30
2,22,25
2,23,13
2,24,21
3,1,11
3,2,4
3,3,7
3,4,12
3,5,11
3,6,9
3,7,16
3,8,37
3,9,38
3,10,37
3,11,18
3,12,13
3,13,14
3,14,12
3,15,15
3,16,17
3,17,20
3,18,30
3,19,14
3,20,18
3,21,20
3,22,20
3,23,27
3,24,22
